"ID","Name","Desc"
"5100","C¯t Hóa Trùng Bì","V§t ph¦m nhi®m vø"
"5101","Thú C¯t HÕng Khuyên","V§t ph¦m nhi®m vø"
"5102","ÐÕi Di­n Thánh Quang Phù","V§t ph¦m nhi®m vø"
"5103","Mänh VÞ Linh ThÕch","V§t ph¦m nhi®m vø"
"5104","Thú Nha Ð° Ð¢ng","V§t ph¦m nhi®m vø"
"5105","Ð¥u Lâu Chùy C¯t","V§t ph¦m nhi®m vø"
"5106","CØu Âm Huy«n Tinh",""
"5107","U Minh Hoa","Có th¬ dung hþp U Minh H°i Mµng Hß½ng. "
"5108","Huy«n Tinh ThÕch","Có th¬ dung hþp U Minh H°i Mµng Hß½ng. "
"5109","U Minh H°i Mµng Hß½ng","V§t ph¦m nhi®m vø có th¬ sØ døng ðßþc. "
"5110","D¸ ThÕch","V§t ph¦m nhi®m vø"
"5111","TØ Tà Quang Châu","Pháp Bäo có th¬ phá vÞ TØ Quang Châu. "
"5112","Âm Tà Quang Châu","Pháp Bäo có th¬ phá vÞ Âm Quang Châu. "
"5113","Linh Tê Ng÷c Xuyªn","V§t ph¦m nhi®m vø có th¬ sØ døng ðßþc. "
"5114","Cñ Tích Ðµc Tuyªn","V§t ph¦m nhi®m vø"
"5115","Thanh Trúc Du¦n","V§t ph¦m nhi®m vø"
"5116","TØ Lôi Bäo Ðan","V§t ph¦m nhi®m vø"
"5117","Tam Tài Kiªm","V§t ph¦m nhi®m vø"
"5118","Huy«n Minh Ni®m Châu","V§t ph¦m nhi®m vø"
"5119","Linh C¯t","V§t ph¦m nhi®m vø"
"5120","Th¤t S¡c C¯t Tän","V§t ph¦m nhi®m vø"
"5121","Không dùng",""
"5122","Linh H°n „n Ký","V§t ph¦m nhi®m vø"
"5123","Nhân Sâm","V§t ph¦m nhi®m vø"
"5124","Không dùng",""
"5125","Bäo ThÕch HÕng Truy","V§t ph¦m nhi®m vø"
"5126","Th×a Càn Di C¯t","V§t ph¦m nhi®m vø"
"5127","Danh Sách Hµ T¸ch","V§t ph¦m nhi®m vø"
"5128","Lßþng Ngân Võng","V§t ph¦m nhi®m vø"
"5129","H± Linh Châu","V§t ph¦m nhi®m vø"
"5130","H°i Âm cüa Thß½ng Long Cß SÛ","V§t ph¦m nhi®m vø"
"5131","H°i Âm cüa Lý Nguyên Hóa","V§t ph¦m nhi®m vø"
"5132","U Minh H°i Mµng Hß½ng","V§t ph¦m nhi®m vø có th¬ sØ døng ðßþc"
"5133","Phá Toái Hàn Thiªt Châu","Có th¬ bán cho Thß½ng nhân kiªm chút ti«n tiêu."
"5134","BÕch C¯t Th¥n Bí","Có th¬ bán cho Thß½ng nhân kiªm chút ti«n tiêu."
"5135","Kiên NgÕnh Liêu Nha","Có th¬ bán cho Thß½ng nhân kiªm chút ti«n tiêu."
"5136","Trß Tung","V§t ph¦m nhi®m vø"
"5137","Løc S¡c Xá Lþi","Mµt loÕi pháp bäo có th¬ hóa giäi sñ giam c¥m."
"5138","H°ng S¡c Xá Lþi","Mµt loÕi pháp bäo có th¬ hóa giäi sñ giam c¥m."
"5139","Huy«n Âm T½","V§t ph¦m nhi®m vø"
