ae,string,string,string,marea,int
±‡∫≈,«¯”Ú√˚◊÷,«¯”Ú“Ù¿÷,«¯”ÚLogo,«¯”Ú,µÿÕºid
"ID","Name","Music","Logo","Area","ZoneId"
146,$L:sn001_yuelongcun$,,,"1279 1280 1413 1472;
1412 1279 1432 1471;
1431 1279 1459 1465;
1459 1279 1476 1448;
1476 1279 1494 1434;",21
147,$L:sn001_yuelongcunjiaowai$,,,"1494 1279 1536 1434;
1281 1472 1637 1597;
1412 1464 1622 1474;
1457 1447 1622 1466;
1474 1430 1621 1448;
1533 1405 1601 1435;
1533 1390 1591 1407;
1531 1374 1586 1392;
1534 1365 1570 1376;
1447 1596 1620 1674;
1442 1596 1448 1666;
1437 1596 1444 1646;
1433 1596 1440 1628;
1429 1595 1436 1621;
1422 1596 1431 1613;
1412 1593 1430 1606;
1403 1594 1416 1603;
1289 1591 1337 1604;
1429 1620 1435 1628;",21
148,$L:sn001_simenshannanbu$,,,"1275 1596 1414 1750;
1414 1673 1536 1749;
1414 1665 1447 1673;
1412 1645 1442 1666;
1413 1626 1438 1646;
1408 1612 1429 1621;
1409 1605 1423 1616;
1411 1619 1430 1627;
1412 1738 1608 1763;
1531 1673 1610 1739;
1272 1749 1413 1793;
1414 1762 1608 1792;",21
149,$L:sn001_feixue$,,,"1535 1278 1824 1365;
1570 1364 1586 1374;
1586 1364 1599 1390;
1591 1390 1601 1406;
1600 1364 1622 1431;
1621 1364 1637 1473;
1636 1365 1686 1486;
1685 1365 1701 1479;
1701 1365 1717 1472;
1717 1364 1735 1465;
1735 1365 1755 1460;
1755 1364 1776 1457;
1775 1365 1793 1450;
1792 1365 1807 1427;
1807 1364 1823 1399;
1941 1277 2048 1418;
1822 1277 1942 1391;",21
150,$L:sn001_shanfeilaochao$,,,"1805 1399 1942 1460;
1820 1389 1943 1402;
1819 1458 1942 1476;
1840 1475 1943 1484;
1851 1483 1942 1490;
1859 1488 1942 1499;
1883 1496 1942 1506;
1900 1504 1942 1513;
1908 1511 1942 1519;
1924 1518 1953 1526;
1942 1418 2049 1521;",21
151,$L:sn001_kumulin$,,,"1022 1534 1282 1800;",22
152,$L:sn001_yuelongcunyizhi$,,,"1023 1799 1256 2048;",22
153,$L:sn001_simenshanlu$,,,"1254 1800 1537 2049;
1282 1791 1538 1802;",22
154,$L:sn001_simenshandongbu$,,,"1605 1674 1998 1793;
1620 1603 2049 1675;
1620 1595 2051 1604;
1637 1522 2051 1597;
1635 1484 1853 1523;
1852 1490 1860 1523;
1860 1499 1884 1524;
1881 1505 1901 1524;
1899 1518 1926 1527;
1901 1512 1908 1520;
1685 1476 1842 1485;
1703 1471 1821 1476;
1716 1460 1819 1471;
1996 1674 2049 1794;",21
155,$L:sn001_eguixia$,,,"1278 1134 1535 1280;
1534 1197 1547 1279;
1534 1150 1547 1177;
1534 1048 1547 1130;
1469 960 1539 976;
1278 962 1353 976;
1353 969 1371 976;
1278 930 1320 963;
1496 940 1539 961;
1278 975 1535 1135;
1534 975 1539 1049;",23
156,$L:sn001_xuantiekuangshan$,,,"1783 1183 2048 1279;
1783 1169 1996 1184;
1783 1158 1977 1170;
1783 1144 1967 1159;
1783 1132 1949 1145;
1783 1118 1916 1133;
1783 1094 1879 1119;
1783 1078 1862 1095;
1783 1064 1853 1079;
1783 1048 1843 1065;
1794 1010 1843 1049;",23
157,$L:sn001_chishendong$,,,"1995 1169 2048 1184;
1976 1158 2048 1170;
1966 1144 2048 1159;
1948 1132 2048 1145;
1915 1118 2048 1133;
1878 1094 2048 1119;
1861 1078 2048 1095;
1852 1064 2048 1079;
1842 995 2048 1065;
1847 987 2047 996;
1853 979 2048 988;
1860 971 2048 980;
1867 964 2005 972;
1872 957 1991 965;
1885 951 1959 958;",23
158,$L:sn001_kongquehe$,,,"1278 510 1539 754;",23
159,$L:sn001_shihualin$,,,"1994 753 2049 761;
2006 699 2049 754;
1994 699 2007 731;
1981 686 2049 700;
1972 674 2049 687;
1967 657 2049 675;
1972 652 2049 658;
1984 644 2049 653;
1993 636 2049 645;
1996 629 2049 636;
2004 621 2049 630;
2005 614 2049 622;
2009 608 2049 614;
2009 592 2049 609;
2004 575 2049 593;
1999 511 2049 576;
1989 511 2001 567;
1980 510 1990 559;
1914 510 1981 552;
1782 510 1915 557;
1785 674 1886 761;
1788 760 2049 777;
