WORD,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WORD,,,,,,,,,,,,,,,,,,,,,list,,list,DWORD,,,,,,int,DWORD,string,int,BYTE,WORD,int,int,char[20],char[20],char[20],char[20],int,int,action,action,action,action,int,int,int,int,int,float,,int,,action,action,action,action,,,,,,,,,,,,,,,,,,,,,,,,,,,
,名字,是否测试道具,类型,武器类型,门派,道具等级,道具最高修炼等级,最低可装备等级,元神需求等级,伤害等级,默认品质,默认属性ID,默认打开属性个数,属性检索ID,分解ID,不生成DBID,是否套装装备,PK红名不可掉落,可交易,可存仓库,可销售,可丢弃,商城道具,可删除,可锻造,使用方式,是否可数,初始个数,最大个数,是否消耗,"功能1
(使用时间 秒)",是否任务道具,是否唯一,是否双手武器,价值,点数,耐久度上限,使用条件,装备条件,拾取效果,表格用等级,装备执行,装备物理防御,火防御,水防御,毒防御,电防御,佛法防御,伤害吸收,装备Dps,装备招架,初始化数值,其他参数,其他参数2,其他参数3,魔石镶嵌等级,魔石镶嵌类型,法宝技能,法宝终极技能,法宝天赋,主法宝默认技能,技能前置开始动作,技能前置动作,技能前置动作,竞技场专用,释放类型,有益性,目标类型,目标限制,特殊作用,最大目标个数,最大目标距离,地面目标半径,前置时间,引导开始前自身临时执行,引导开始前目标临时执行,引导开始前自身执行,引导开始前目标执行,引导时间,引导次数,引导时自身临时执行,引导时目标临时执行,引导时自身执行,引导时目标执行,冷却时间,公共冷却时间,分组冷却Id,禁止行动时间,动作时间,爆击几率,特效几率,附加显示特殊系数,伤害属性类型,释放时自身临时执行,释放时目标临时执行,释放时自身执行,释放时目标执行,非有益技能是否计算伤害,实际伤害时间,最小最大伤害,参数2,图标,模型,蓝色模型,金色模型,缩放比例,武器模型2,武器蓝色模型2,武器金色模型2,是否带路径,武器link,坐骑+10特效,坐骑+10特效Link,道具自动使用效果,武器1收起link点,武器link2,武器2收起link点,声音,场景特效,受击特效,受击特效link,不受攻击状态限制,,
ID,_name,IsTestItem,m_Type,m_WeaponType,m_Party,m_ItemLevel,m_ItemMaxLevel,m_EquipNeedLevel,m_EquipNeedGodLevel,m_DamageLevel,DefaultColor,DefaultAttrib,DefaultAttribNum,Factor,DecomposeId,NoDBID,m_bSuit,m_bPkDropLock,m_bCanTrade,m_bCanBank,m_bCanShop,m_bCanDrop,m_bPointShop,m_bCanDelete,m_bCanSmithing,m_UseType,m_bCountable,m_InitCount,m_MaxCount,m_bConsume,TimeLimit,m_bTaskItem,m_bSingle,m_bBothHand,m_Value,m_CardPoints,m_MaxHardiness,m_pUseCondition,m_pEquipCondition,m_pPickAction,Level_TableUse,m_pEquipAction,m_pEquipPhyArmor,EquipArm_Fire,EquipArm_Wator,EquipArm_Poison,EquipArm_Light,EquipArm_Fo,m_pEquipDamageAbsorb,m_pEquipDps,m_pEquipParry,InitValue,OtherParam,OtherParam2,OtherParam3,GemmyLevel,GemmyType,arrTrumpSkills,arrTrumpFinalSkills,arrTrumpTalents,m_TrumpAttackSkill,graph_PreStartPose,graph_PrePose,graph_EndPose,bDungeonOnly,ReleaseType,Benefit,TargetType,TargetCondition,Special,TargetCount,TargetRange,TargetRadius,PreTime,BeforeLoadingTmpSelf,BeforeLoadingTmpTarget,BeforeLoadingSelf,BeforeLoadingTarget,LoadingTime,LoadingCount,LoadingTmpSelf,LoadingTmpTarget,LoadingSelf,LoadingTarget,CDTime,PublicCDTime,TypeCDId,ForbiddenTime,PoseTime,CriticalRate,EffRate,AddtionShowParam,DmgType,LaunchTmpSelf,LaunchTmpTarget,LaunchSelf,LaunchTarget,NoDamage,RealDmgTime,DamageMinMax,graph_Param2,Icon,Model,Model_Blue,Model_Golden,Scale_Value,Model2,Model_Blue2,Model_Golden2,m_bPath,weaponLink,m_ItemRiderEffect,m_ItemRiderEffectLink,m_BindBuff,weapon1DrawInLink,weaponLink2,weapon1DrawInLink2,m_Sound,graph_SceneEff,graph_HitEff,graph_HitEffLink,bNotCheckAttState,bcache,bPrePoseDrawInWeapon
5100,骨化的虫皮,,,,5,,,,,,,,,,,,,,0,0,0,1,,1,,,1,1,99,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it3436,,,,,,,,,,,,,,,,,,,,,,
5101,兽骨项圈,,,,5,,,,,,,,,,,,,,0,0,0,1,,1,,,1,1,99,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it5101,,,,,,,,,,,,,,,,,,,,,,
5102,大衍圣光符,,200,,5,,,,,,,,,,,,,,0,0,0,1,,1,,,1,1,99,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it4911,,,,,,,,,,,,,,,,,,,,,,
5103,灵石碎片,,,,5,,,,,,,,,,,,,,0,0,0,1,,1,,,1,1,99,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it4909,,,,,,,,,,,,,,,,,,,,,,
5104,兽牙图腾,,,,5,,,,,,,,,,,,,,0,0,0,1,,1,,,0,1,99,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it612,,,,,,,,,,,,,,,,,,,,,,
5105,骷髅头骨,,,,5,,,,,,,,,,,,,,0,0,0,1,,1,,,1,1,99,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it3436,,,,,,,,,,,,,,,,,,,,,,
5106,九阴玄晶,,200,,5,,,,,,,,,,,,,,1,1,1,1,,1,,,1,1,99,0,,0,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it3733,,,,,,,,,,,,,,,,,,,,,,
